label,tweet
sedih,sulit menerima kenyataan memang bahwa ada sebagian yang menganggap ketika kita berinteraksi dengan satu orang  dari satu golongan tertentu kita langsung mengatakan golongan tertentu sesaat tanpa kita mempelajari secara utuh dan mengklaim diri kita paling benar
marah,samanye sudah  maling semua tidak si jancok tidak si anjing tidak si siluman monyet hahahahaha satu hati sama sama maling 
marah,ku juga ingin ngamuk bacain komen netizen yang  mahabenar ya lord tidak abis pikir komen macem gini yang  bikin kasus pelecehan seksual akan tenggelam begitu saja tidak ada hukuman untuk pelaku lebih sedihnya rerata yang  komen jahat adalah perempuan mbaq kesehatanmu loh url
cinta,setiap kesempatan yang  pernah hadir tuk dapat membuatmu selalu merasa aman dan nyaman kini jadi suatu kehormatan yang  pernah didapat
marah,sedap kali kamu ya tidur  dikasur ku saya tidur kamu ikut tidur mau jadi apa kamu bacanya pakai  logat mamak dahlia di keluarga badak
senang,h mau ke bank ramai  sangat  ampe antrian tempat duduknya ada diluar toko emas meluber ampe tidak kelihatan  mbaknya yang  jualan ke swalayan antrian kasir naudzubilah panjang benar  pada bahagia semua kayaknya semoga oh semoga rs sepi pasien pada sembuh dan pulang untuk  berbahagia 
marah,benar hancur negara ini dikelola amatiran tapi kenpak username tidak mengindahkan statementnya sendiri negara miskin koordinasi jangan asal gagahan  setalah salah dianulir mana marwahmu wahai mr username presiden url
marah,budayakan mencari dan membaca sebelum tanya  ya sudah dijelaskan berkali kok selama tidak diaturgaada ketentuan khusus pakai saja 
sedih,separuh hati ini iri jika melihat seorang anak yang  masih bisa duduk atau berjalan bersama ibundanya dan separuh hati ini turut berempati melihat seorang anak yang  begitu gundah saat ibundanya sakit yang sabar ya kawan semoga allah memberikan yang  terbaik untuk kita semua
senang,ketika saya tersenyum bukan berarti hidupku sempurna saya hanya mensyukuri apa yang saya punya dan apa yang  telah tuhan berikan untuk ku
sedih,dari mau tidur  tidur sampai bangun  tidur  kok yaa mirip  merasa  aneh tidak enak hati sudah dibawa istighfar masih saja  bangun  tidur  mirip  sedih mirip  mikir tidak puguh ini kenapa sangat  coba 
cinta,kan kupeluk engkau erat hingga tak ada seorang pun yang bisa merebut mu dari pelukan ku happy anniversary sayang  nov months
marah,kalau  mau ganti presiden itu harus jelas siapa calonnya terus diadu program kerjanya ini koalisi belum ditentuin bisanya hanya buat kaos dan tagar
senang,sukses n keren sekali  dengan  no kualitasbhn krjaitu cita pu agar warisan ampe ke cusukses tims bbpjn barokah terlimpahkan
marah,sudah mau sarjana  kali mbokya mulut nya jangan ketinggalan buat belajar sekiranya itu tidak perlu diungkapkan tambah  dosa  menyakiti  hati orangnya mending diam  baik  lah kasihan  anda nya yang  di julidin sama  orang
marah,gimana orang tidak nilai dari  jilbabsyaringgak nya kadang gemez sama  orang yang  dikelas diam  baik  eh di grup saya bisanya dia nyeletuk mengarah ke social harassment
takut,hari ini jadwal presentasi proker di lppm karena  ada praktikum jadinya pak ketua di temani sekretaris  tapi selaku penanggung jawab ada di sekretaris  jadi deg deg an ini bismillah pak ketua btw pen upload foto pak ketua tapi jangan dulu yaa 
marah,foto saya di instagram masih ada cuma lupa password instanya jadi tidak bisa di buka  ini pasti salah pemerintah dan instagram kenapa sampai pakai password segala  tuh sampai lupa kan saya begoloe 
takut,drama kmarin sore  seharian puasa terus  pas lagi  mandi kaget bcz kedatangan tamu tak diundang pas sangat  woi pas lagi adzan maghrib terus  jadi galau dong seharian itu dianggap sah puasa apa tidak 
sedih,sungguh mencintaimu berat sekali berpisah denganmu apalagi hadiahperasaan  username selalu bikin baper tapi sukses melupakan lapar  url
marah, pas sudah  dikirim kembali si kurir telepon keluh  dan malas bergerak buat antar  ke alamat yang  benar  malah minta ketemuan di titik yang  dia tahu itupun dia tidak mau susah no putar  balik harus  searah sama arah kendaraan dia jalan
senang,pada akhirnya kita akan melewati semua ini semua yang dulu kita bayangkan betapa sulitnya kita lalui juga di akhir kita hanya bisa belajar belajar dan belajar memetik semua hikmah yang bisa kita petik mempersiapkan untuk kedepan
cinta,kenapa pasangan seringkali diibaratkan sebagai rumah karena rasa nyaman bersamanya senyaman berada di rumah kamu bisa jadi apa saja kamu selalu pulang menujunya 
takut,ya tahu kalau  rasa sakit hati memamg sulit tapi ada kala nya saat di jenjang rumah tangga jangan lah di publikan situasi saat inimedia itu jahat tidak  menyelesaikan masalah dengan terlontarnya kata demi kata
senang,ponakan kelas   sd lagi  suka  nonton video tutorial masak  craft  youtube saya kelas   sd sudah baca novel marga t amp mira saya pinjam  punya sepupu
senang,bberapa tahun kemudian kesejahteraan keluarga makmak ini teus meningkat sampailah suaminya itu dapat  pangkat yang  tinggi kurang paham juga tentang pangkatan di tni pokoknya  sudah hidup bekecukupan
sedih,bukan tidak mendukung atau mendoakan cuma menyikapi apa yang sudah itu pilihanmu dan berupayalah mempertahankannyadisini saya dari jauh seharusnya bahagia tapi melihatmu sedih kebahagianku pudarseperti saat kala itu menerima undangan pernikahanmu
senang,jnejnt selama saya pakai  entah kirim paketbeli olshop jastip dari luar kota sampai beda pulau maksimal  hari sampai mau itu dia pakai  mobil susah cari alamat bingung tidak bisa masuk kompleksgang meski malam  sekalipun dibelain jalan ke rumah sampai paketan terkirim dengan  baik
marah,gemes sangat  sama orang yang  masih menganggap wajar pelecehan sexual secara verbal  mau verbal atau fisik atau apapun itu tetap tidak dibenarkan
takut,apa hukumnya bermain musik stad jelas haroooom hukumnya berdosa kita memainkannya begitulah kirakira percakapan yang  terjadi antara penanya dan seorang ustad disebuah acara tv yang  intronya pakai  musik 
marah,apa hebatnya mardani menurut saya  oeang ini cuma besar mulut saja  faktanya sampai saat ini belum  menyebutkan capres lagipula kalau koalisinya hanya pks dan gerindra tidak mungkin lah yaow
sedih,oh iya ibu nya ngelahirin anak ke  yaitu cewek tapi  tidak tahu tahun berapa nya lanjut yang  tadi baru saja  setahun di kasih kenikmatan datang lagi  ujian buat si makmak kali ini mungkin berat dia di tinggal suaminya meninggal seketika ibu itu jadi singel parent
senang,z suka twitter soalny perempuan ji semua temanku di sini biar mengomel sampai tablengker ndada bahayanya bahas monsteration juga bebas bahas tidak puasa juga bebas di saya mau  update status streskan monsteration kita  harus pi dulu  blok semua cowok  baru mengupdate 
marah,tidak ngerti lagi sama ciwiciwi yang nyinyirin via vallen ini dia itu korban loh sesusah itukah untuk saling support satu sama lain gurlzz
marah,hari ini libur rencananya mau nonton jurassic world tapi kayaknya  tidak jadi deh mengingat kondisi yang  tidak fit sangat  ini kesal  rusak rencana sebelanga kesal  saya
marah,nah ini yang  nunggu anak anteng dengan kesabaran seluas samudra terus  bapaknya datang  bikin anak nangis hmmm kuingin marah melampiaskan
cinta,ku rindu bisik mu di telingaku seraya kamu berkata semoga kelak kamu menjadi anak yang  berguna bagi banyak orang dan semoga kamu selalu menyayangi kami orang tua mu
marah,ini hasil sekolah asal sekolah  mikirlah mahkamah internasional itu punya kewenangan mengadili perkara genosida dsbnya 
marah,lah elu yang harusnya ditanya teh kenapa bisa berasumsi guw mah kacang tanpa kulit maksudnya apa hayo ke sana juga kan maksud loooo
marah,web permata kurang  profesional ada program cashback ribu  token pln waktu di klik info masuknya ke program paket kuota data piye iki
takut,nah yang  saya takutkan itu mas nanti di tumpangi politik dibalut agama itu yang  bahaya soalnya  masyarakat kita sedang sensitif dengan  hal tersebut
sedih,mau cerita kesiapa kalau sudah mirip  begini hancur hidup ini pikirin dong gimana hati ku saya sedih saya nangis sampai menetes air mata ini kayaknya lirik lagu sayang pia palen deh wkwkw
sedih,setelah hari puasa dan saur tidak pernah kesiangan akhirnya di hari ke merasakan  makan saur supeerrr dupeerr ekspress menit sebelum imsak baru bangun yassalaaam
takut,jadi ada thr tapi dari  apbd yang punya kuasa takut kalau kalau di garis bawahi sama kpk dan jadilah mereka ggl dapat  thr tahun ini kok bisa begitu  ya buk mentri bilang aman yang lain ketakutan
marah,tolong bantu saya username kenapa ya lptop saya sudah  kali kok tidak bisa buka dokumen pasti not respondingpdhal sudah pernah dibawa ke hp center semoga   apakah lptop saya termasuk produk gagal atau gimanabeli  maret   dan kalau  gini terus  kan jadi jgkel sendiri 
marah,ini sudah masuk ke proses penjualan tapi pas dibuka detail ko malah gini apakah produk sedang diproses atau diproses tanggal 
marah,username semen indonesia belum nambang loh di rembangmalah ada perusahaan yang  lokasi hanya  meter dari  areal tambang semen tidak pernah diprotes dan ini sudah bertahun lamanyaknp kok pas semen diprotes
marah,siapa yang  bilang punya anak menyenangkan terus  sodorin anak yang  tantrum karena  ngantuk tapi tidak mau tidur  istigfar kencang 
sedih,merasa oon ketika tahu sesuatu dan tidak boleh di bicarakan ke orang lain nah kelalaian malah sebaliknya jadi malah merubah siklus dan alur waktu yang seharusnya itu terjadi
marah,punya sahabat cowok   nih tapi sering nya tidak konsisten terus sering bohong lagi kenapa sih sudah berkali dimarahin karena  sering bohong tapi tidak mempan juga apa kodratnya suka bohong apa gimana
senang,kalau tahu ada libur panjang  selain lebaran  tuh rasanya ingin cepat  gendong cerrier pakai  sepatu terus  pergi ketemu alam dan berdamai dengannya
marah,siapa bilang kafir gabung sama khilafah bro jangan alihkan isu anda itu siapa penyelundup dari kaum bumidatar seolah pro pancasila username url
senang,btw doa restu orang tua itu memang  gilingan ya pas sudah mentok cari  literatur tambahan temu  saja  dong di rumah padahal dari kemarin sudah panik kudu pesan  dari banyumas  apakah ini berkah ramadan url
marah,salah satu contoh tidak tahu berterima kasih padahal  datang pas sudah terkenal pi wannaone ckckckc yang  dulu  berjuang siapa jawab sendiri ma ko deh wanna ones swing entertainment warns legal action against fansite masters url via username
takut,dari  pgi merasakan  sakit perut kirain mau haid sudah beli kiranti pas di cek malah kaga ada  tolong  atulah haid sekarang  saja  biar bisa ikut solat ied 
sedih, turut berduka cita buat kawan a cak semoga keluarga yang  di tinggalkan a bisa di beri kesabaran amp meridoi kepergian alm sajete wani
marah,username jaringannya mati ya tidak bisa dibuka mobile jkn saya mau ke puskesmes terus  piye mau tunjukkan kartu elektoniknya kecewa
marah, kamu belum lahir atau belum  sekolah bong saya rasa atau bapak kamu pki bong bandit  rampok atau sejenis yang  menganggu orang banyak pak soeharto dibilang kejam hanya oleh orang pki bandit rampok bong bong bongakkk url
marah,bagi yang dulunya usaha terus sekarang  jadi karyawan macam saya pasti bawaannye ingin usaha lagi  tidak ada yang ngatur flexible lebih  banyak duit faaak
sedih,salah satu efek merapi sama bom bagi orang yang mau bikin event negara lain takut ke jogja dan indonesia karena jadi saya lagi ada event internasional dan beberapa negara belum konfirmasi karena takut sama merapi sama teror juga semoga  merapi lekas reda  semoga  tidak ada bom lagi
marah,baiknya gubernur anies baswedan dimosi tidak percaya biar lengser username  username username username username username username username username username url
marah,kaum oposisi tidak bikin gegeran di media termsk medsos ketika rupiah menguat musim ributnya khusus waktu  terjadi pelemahan saja dengan  menyalahkan semuanya kepada  presiden username   url
sedih,lagi puasa tapi dari  pagi sudah kesana kemari mmbawa alamat eh ayuting kali  enggk ding ini kenapa  siang tetangga sbelah goreng telur yah kan baunya sampai  idung saya hikss piye sih mbak
marah,username heee saya kemarin ngeliat hoak tetang pohon plastik pertama kali dari  akun anda ygdisebarkan lewat facebook   ini bukan saja nol besar tapi skaligus nonjok muka junjungan sdr  terima kasih
marah,username min ini gimana kurirnya salah kirim malah ke alamat orang terus  pertanggung jawabannya gimana tolong respon secepatnya thanks url
takut,ini pas sekali  saya habis baca buku ada bule pdkt bilang cariin rumah samamobil dicariin mobil sama rumah mewah si bule oke dan niat kirim uang sekitar jt tapi pakai  pos bilang sama hadiah lain tapi tidak masuk akal kirim yang sebanyak itu pakai  pos url
marah,username username username username masalahnya itu uang buat konsumsi buka puasa bareng anak yatim yang harus dibayarkan ke katering 
sedih,niat ke masjid sholat nya di lantai  berharap bisa obob manjah karena  biasanya tidak banyak yang  solat disini fact fullhouse mpe shaf belakang selamat tinggal
senang,paling excited kalau  bicara  sama orang kreatif siap saja kalau  bakal tercengang sama ide mereka yang mungkin belum pernah terpikirkan olehmu oh iya kenapa saya baru kepikiran  
marah,miris  menciptakan karya dengan susah payah yang menguras pikirantenagawaktu dan materi kalah oleh oknum yang  menjiplak danatau sekedar terima beres memanfaatkan karya orang lain dengan gimmik dan sensasi gimana menurut username 
marah,sebelah mana stereotypingnya dari pernyataan saya coba ditunjukkan siapa tahu saya salah bicara bagus dong kalau banyak yang mengecam semakin banyak makin terdengar suara untuk kebenaran semakin bagus kalau benar tapi kalah keras sama yang salah itu yang harus diatasi url
marah,tipikal cowok  menye menye sangat  ini  paling tidak bisa diajak argumen menyalahkan orang dan mengeluh terus ini  manusia maha sempurna pen ngatain goblok tapi puasa
senang,tiada henti ny saya mengucap syukut alhmdllh sekarang  saya bisa uang jadi panitia kemarin alhmdllh trmkah kamu bri brlmpah meski  tak sbrpa inysllh lma mmbukit amn url
marah,kamu mau bicara  apakayaknya kamu dendam kepada  aniespernah disakiti olh gub aniessalah apa anies kpdmuknp dendamkamu klmpok dki yang  tidak puny gubanies bukan url pada tempatnya kamu maki aniessalah url
sedih,ketika di group keluarga sudah pada membicarakan  mudik duuh ingin mudik tapi apa daya suami libur cuma  hari dari  hari h lebaran itu juga kalau  tidak di telepon  disuruh masuk  tahun lalu malah habis sholat eid langsung  kerja 
sedih,orang yang  pernah kalah dalam pertarungan politik sulit untuk bisa disembuhkan karena mereka tidak bisa meraih impian dan sudah kehilangan banyak harta
sedih,nggada sinyal di rumah membuatku banyak berfikir berfikir saja  tapi pikiran ke mana mana random tapi pasti ada dia 
takut,ada kabar  kasus tuduhan chat mesum terhadap imam besar habib rizieq sudah dihentikan mohon bantu doa semoga benar adanya semoga kesucian ramadhan membuka mata hati bapak kita yang  menyidikamin
takut,jangan ngecengin saya  lagi ya gaes username username username orang ini sudah ada blognya juga ya walaupun nulisnya tidak jam  dinihari sih
marah,cari orang yang  selalu menyudutkan ansor sabar itu bagus tapi kalau terus menerus difitnah disalahkan jangan tinggal diam saatnya
cinta,halohaa selamat siang denise sudah pulang sekolah belum nih  jangan lupa makan siang ya oh iya gimana sudah sehatan kan kamu  kalau  memang  masih kurang sehat ya perbanyak  istirahat saja  sekarang kakak selalu nunggu kok tweet dari k
marah,itu lah bodoh mu bong disuruh baca tidak mau baca pbb cikal bakalnya dari masyumi  pbb keluarga besar bulan bintang  masyumi dasar bong
takut,mudahan sudah terupload semua  sebelum z mudik karena  fans modal quota pun butuh daerah dengan jaringan yang bagus hiksss hitungan jam juga br slsi kalau  z mau  download  ini di rumahku pi 
marah,orang pendukung khilafah memang harus di black mail username username username username username username username username username username username username username username url
marah,jangan sok akrab ye mention mention saya  maling dulu saja  yang  benar  nanti kalau  sudah sukses jadi malingnye baru saya balas  mentionan kamu kamu pada  salamsatunyalilari bonekjancuk url
senang,alhamdulillah prof setelah berbicara semalam di username adem rasanya semoga membawa keberkahan amin  yaa rabbal aalamiin
senang,keren kirakira masih ada tidak yang  bilang pak username antiislam  triliun  hektar jadi kampus rujukan islam dunia sekelas alazhar belum lagi proyek ponpes madrasah masjid dan fasilitas ummat lain kalau  ada yang  masih bilang beliau an
marah,username saya kan datang untuk bertanya kemudian bicara  tuh sama mba mba help desk tapi saya tetap  tidak ngerti karena tidak dapat  jawaban yang  menjawab pertanyaan saya terus  mbanya lama lama agak emosi yaudah makin tidak kejawab dong terus  saya pulang
marah,sering tuh saya  digituin pas kalau  baru ketemu apsara lagi kok perawatannya makin banyak makin gendut saja  sih  wah senyum saja  mengiyakan  saja  dalam  hati bacot kamu anjing
takut,kalau  sifat buruk mungkin bisa dirubah dengan bertambahnya umur atau berubahnya keadaan kalau  kebiasaan buruk mungkin sulit ya karena semacam sudah jadi hobi begitu  tidak sih
takut, berdesakanbejubelan di krl adalah salah satu godaan dalam berpuasaapalagi d depan  nya ada wanita cantik sambil kunyah  tahu gejrothehe
marah,username belanjaitugakribet ternyata cuma  slogan doangstelah dkomplen ternyata dbatalin sepihak dan nama besar itu tidak jaminan keprofesionalan yatrus nyampein ke pihak official store kalau saya  yang  batalinpdhl samsek tidak saya  batalinjd sekarang  saya  sudah tahu kal
senang,happy birthday to us username and happy th anniv wkwkwk bentar lagi kita putus huhu saya harus cari pacar baru  url
takut,terus baca komennya pada bilang kalau  musik itu haram dan bla bla nah disini saya tahu kalau  fanatik kan memang  tidak boleh tapi kalau sekedar suka begitu  gimana
senang,rabu  anakbujangku selesai menempuh pendidikan di tk bhakti ibu bakauheni eit ternyata ia dapat piala jugak hehehe
marah,saya hidup dizaman presiden hebat yaitu soeharto beliau buat aman dan tenang untuk masyarakat tetapi tidak tenang untuk kaum pki kaum rampok kaum bandit kaum yang  ingin jadi pejabat negara tapi otaknya kosong hanya kaum itulah yang  tidak suka bapak soeharto url
senang,bersama segenap dewan guru terimakasih telah membimbing anak kami selama ini bu semoga ibuibu semua dimudahkan segala urusannya dan ilmu yang ibu ajarkan menjadi amal jariah yang pahalanya akan terus mengalir ke ibu selamanya url
marah,saya memang  cuek sih  sangat  sangat  malah tapi kalau  ada yang  buat risih atau tidak nyaman ya hati saja  lah pokoknya jangan sampai saya ajak nongkrong breng 
sedih,bagi anda anda yang  dianugerahi gigi rapi dari lahir bersyukurlah  karena pakai  behel ternyata lebih sakit daripada sakit hati menurutguesih
senang, alhamdulillah piedi rsup kariadi ini benar  diurus jadi sudah tidak panas tinggi lagi  soalnya langsung dikasih paracetamol yang  botolan
marah,melihat sudah terlalu banyak username project yang jatohnya malah jadi scam dan fraud asli saya ingin coba deh bawa mereka sama creator creator mereka yang sudah bawa kabur duit banyak orang termasuk saya ke ranah hukum indonesia
marah,soal via vallen saya sepakat sama nikita mirzani jangan lebay kalau tidak suka di itu  tinggal tolak dan block itu  orang jangan di share jadi konsumsi publik kek ingin menampilkan kepolosan tak berdosa gimana gituu menurutkusih 
takut,baru ngerusuh di balai desa terus pas mau pulang tadi bu lurah tanya  mba ulfah itu temannya yang satu ke mana sih kok tidak kelihatan hah teman saya buk oo bu lurah iya yang biasa bareng dari senin tidak berangkat lho wait dari senin
takut,mba pps tuh pasti ada apaapa mba ulfa juga pasti merasa  ini kok tidak ada sebentar sebentar dia kenapa lagi sih dari senin tidak berangkat  bikin khawatir saja  tt
marah,aduh  ini lagi satu cewek  yang  sudah pikirannya jahat jari jarinya jahat dinikmati heh mbak memang  penyanyi dangdut itu auto lonte lonte juga bisa kena sexual harassment mbaaaak
sedih,kamu ngapa si galau terus  kamu kalau  galau banyak diam  kalau lagi  senang  tidak bisa diam  mangat dong kak nanas senang  itu bisa nularin ke orang loh wkwk
marah,sudah berjuta kali bong dikasih tahu pak harto hanya kejam  pki bandit rampok kamu keturunan kelompok mana bong hahahahaha
senang,sebentar lagi ketemu krucilkrucil ponakan yang gemesin sekali  suka nya minta main berantemberanteman seru sih meskipun ya resiko pada pegelpegel nantinya sedikitsedikit sambil ngajarin berhitung agar jadilebihbaik lagi nanti pas masuk sekolah
marah,lalu bagaimana dengan negara mereka akan kehilangan banyak pendapatan dari cukai rokok hutang negara akan semakin banyak ah itu kan hanya pembenaranmu saja coba lihat ini bagaimana apa pendapatmu masih sama url
takut,eh tapi numbuhin brewok juga buat nyenengin diri sendiri sih compliment dari sesama cowok bonus lah tapi tidak dirawat sedikit  langsung tumbuh liar atau gatal  sekali 
marah,kost  deket kantor datang  paling telat terus  kalau  siang tidur pula selonjoran di sofa teman  kantor kaya gini memang  perlu dikatain tahi  sih
marah,si username ini tidak bisa seenak dewe melepaskan tanggung jawab ke backers cuma berdasarkan toc antara kickstarter selaku penyedia platform crowdfunding creators dan backers toc tetap tunduk ke hukum yang berlaku di governing law si toc saya mau cari legal loophole nya url
sedih,ada anak sma habis perpisahan atau semacam wisuda sekolah foto bareng sama tementemennya sejawat dengan  pakai kebaya lalu di post di ig dengan caption nanti siapa ya yang bakal nikah duluan ku langsung tertunduk lesu dan seraya ingin minum extra joss jancuk 
senang,awak sih jadi orang slow mau di omongin a to z asal ale banyak  makan tidak cranky berat naik sudah bahagia masalah  apapun jadi kayak  tidak ada ibu sangat  sih sekarang 
marah,ganti presiden siapa takuthanya siapa calonnya apa si doi yang  onoh ih tidak syudih
marah,para penipu kasihan ibukota negara saya di pimpin sama mereka yang  haus jabatan tanpa mementingkan rakyatnya tahi  buat username username
takut,perginya diantar sama teman tidak bawa hp sudah janjian biar dijemput jam setengah  karena  sayanya ketiduran dan yang  jemput tidak nongol bingung mau bagaimana  akhirnya jalan kaki  kamu siang bolong ngeri kali lahh vanashh syekaleh vemirsyahh
sedih,iya kamu lakilaki sang pengambil keputusan tapi kan saya juga ingin dianggap diajak berdiskusi dimintai pendapat diajak mencari jalan keluar atau sekadar ditenangkan kecemasannya saya ini ada jangan hidup sendiri username
sedih,akhirnya ingin berkata juga saya tidak mau sakit kenapa migrain ini harus datang  saat lagi byknya masalah yang  membutuhkan tenaga mikir apalagi bentar lagi  harus mudik ya allah kenapa coba 
senang,ingin cerita dari kemarin  tidak sempet beberapa hari yang  lalu tarawih di masjid tidak konsentrasi  sekali  posisi lagi apes gimana tidak posisi solat di shaf depan ada mas pakai  sarung terus  sarung nya nyeplak pantatnya pas sekali  ketat kampret pen terbahak-bahak  tapi lagi solat syit
senang,congratulation username semoga dilancarkan dan dapat kesempatan memandang orang orang di panggung username break a leg url
takut,tidak jamin deh tapi gemana pak police username  siap tidak kerja tanpa pungli dan sejenisnya korup pungli itu bagai addicted sekali coba  keenakan tambah  lagi deh generasiantikorupsi
marah,looh kok merendahkan semangat perlindungan perempuan sih justru jadi cewek itu kudu tegas dan galak sama laki kek begitu  di block saja  udahngapain di share sampai se indonesia tahu
sedih,sudah semingguan tidak ada kabar wkwkwkwk akunya sibuk urus  rapot sama ijazah anak  terus tidak tanya  kabarnya dia juga selama seminggu sahabat macam apa kamu 
sedih,haaaa syabar ajaaa beloman waktunya buat ikutttt pemerintah ajanihhh yang  ketumbenan kasih  liburnya kepanjangaaannnnnn 
marah,dimohon jangan paksa saya buat include dimana  harap sopan dan jelas kalau  mau bo jangan labil tidak jelas will be block tentu saja yang  sudah taatin rule saya utamakan
marah,pembukaan tidak pernah di amandemen cebong busuk atas berkat rahmat allah yang maha kuasa kamu baca pembukaan uud disitu semua dasar negara ri bongo memang bongak
marah,apa sih susahnya mengapresiasi sedikit saja  sama apa yang sudah dilakuin oranglain dengan  kasih  hak nya tepat waktu dikira gapnya kebutuhan kali yagiliran masalah kerjaan no  mau lagi  ijinlibur tetap  ae dihajar terus  ketjewalah saya
marah, ya tutup matalah karena  pejabat bukan  cuma pintar  tapi tahu etika masa dalam  satu kabinet main nyerang berani y berani tapi etika dimana  memang kabinet gundul
senang,ngapain pada ramai  mikir cari  baju lebaran memang  harus ya kalau saya mah tiap hari pakai  baju lebaran soalnya kalau  pakai  baju sempitan ngaaap iyainajabiarcepet
senang,lewat tengah hari semoga harimu menyenangkan ya yuk semangat
sedih,saya itu  biasa beli shopee pakai  atm manual asal cocok jumlahnya di verifikasi otomatis eh ini keenakan jadi teledor pakai  akun sepupu saya malah tidak otomatis pesanannnya kecancel ya allah malih saya kapan ya berhenti  goblok
sedih,kayaknya  saya kalau  shopee memang  jangan nitip akun orang deh mau  irit ongkir apa bagaimana  dulu nitip firsta pesan  lenti donghan yang  datang boneka pokemon
senang,terima kasih teman  hmj d keperawatan stikes al irsyad cilacap sudah berbagi kebahagiaan bersama mbah kakung dan mbah putri username url
sedih,saya tidak suka tidak senang  sama yang namanya maling cuma saya juga tidak senang  kalau maling digebukin sampai bonyok sekali  apalagi sampai dibakar dan dibunuh
marah,manusia rakus bunda menteri sudah advokat dirampok juga banyak tahu rahasia negara waktu di istana sama orba bandit bingit
marah,pln memang php surat edaran maintain daerah a sampai jam  tapi skg sudah jam  listrik belum hidup juga kalau telat sedikit  bayar tagihan langsung denda ini kalau mati listrik terus  dapat  potongan tidak username
senang,sebagai supporter username saya tidak suka barca tapi sebagai pecinta sepakbola saya suka ini film keren lahhh  heartofalio url
marah,konyol sangat  mbak komentar anda main ignore saja  dikira hal begitu  sepele sekali  dia tidak nyaman makanya di publish biar kasih  pelajaran buat orang yang  mau punya niat goda biar tidak nerusin niatnya kalau tidak ingin  di permaluin reminder juga bua
marah,fahri aktivis  nol isinya mana reformasi mu tidak merubah apapun kecuali koar koar bebas di negeriku mustinya golkar kamu bubarin harto diturunkan golkar melenggang jaya kata amien raisa bodoh
marah,thread ini dipersembahkan oleh wanita yang  permisif terhadap pelecehan yang  dialami wanita lainnya dengan alasan kejadian seperti itu banyak terjadi dan tidak ada yang  mengadukan khanmaen url
marah,ada yang  lebih menggelikan ketimbang kasus sexual harassment yang  menimpa via vallen para politisi amp partai politik memanfaatkannya sebagai  panggung pertunjukan dengan  dalih pembelaan korban hilihkinthil
senang, ko si drummer ini lucu sih mukanya kek tengil tapi ngegemesin terus mulai dibiasin sereceh itu saya punya bias
sedih,macet parah di kemang disebelah mobil saya terparkir gerobak mie ayam yang luar biasa menggugah selera padahal baru ngeliat gerobaknya saja 
marah,pernah ngomel karena  diginiin terus  bang ojolnya malah nyolot bilang  kalau ikutan macet jalan normal saya yang rugi neng bensinnya jauh mba muter baliknya rugi saya wth
